asset_id,recorded_at,lat,lng,engine_hours,idle_hours,fuel_level_pct,tilt_angle_deg,speed_kmh,is_anomaly,equipment_type,site_id,engine_active,hours_since_maintenance
EQX1001,2026-08-01T00:00:00Z,26.913605,75.785511,1230.53,211.98,89.1,11.8,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T00:21:00Z,26.913263,75.788394,1230.53,211.98,89.1,4.0,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T00:35:00Z,26.912502,75.787928,1230.53,211.98,89.1,1.6,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T00:41:00Z,26.913872,75.786444,1230.53,211.98,89.1,12.6,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T00:56:00Z,26.913064,75.78823,1230.53,211.98,89.1,14.0,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T00:57:00Z,26.913412,75.789681,1230.53,211.98,89.0,3.0,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T01:02:00Z,26.91305,75.787065,1230.53,211.98,89.0,6.4,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T01:07:00Z,26.912247,75.787864,1230.53,211.98,89.0,4.7,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T01:17:00Z,26.912691,75.787077,1230.53,211.98,88.9,1.7,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T01:27:00Z,26.912605,75.787173,1230.53,211.98,88.9,12.3,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T01:35:00Z,26.912943,75.788764,1230.53,211.98,88.9,7.2,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T01:37:00Z,26.913835,75.786691,1230.53,211.98,88.9,7.8,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T01:43:00Z,26.912223,75.786393,1230.53,211.98,88.9,0.2,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T01:44:00Z,26.911886,75.786903,1230.53,211.98,88.9,6.5,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T01:45:00Z,26.910832,75.786836,1230.53,211.98,88.8,13.8,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T01:46:00Z,26.912829,75.78732,1230.53,211.98,88.8,13.6,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T02:02:00Z,26.911938,75.787919,1230.53,211.98,88.8,7.5,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T02:09:00Z,26.913614,75.786305,1230.53,211.98,88.8,13.6,0.0,False,Excavator,S008,False,49.18
EQX1001,2026-08-01T02:10:00Z,25.16225,82.468266,1230.53,211.98,88.8,12.9,12.5,True,Excavator,,True,49.18
EQX1001,2026-08-01T02:12:00Z,26.912521,75.785374,1230.53,211.98,88.7,1.4,0.0,False,Excavator,S008,False,49.18
